Symbol,opening_price,closing_price,min_price,max_price,fluctate_24H,fluctate_rate_24H
BTC,49176000,48794000,48521000,49214000,-516000,-1.05
ETH,3622000,3599000,3561000,3634000,-51000,-1.4
LTC,128500,128800,125900,129600,0,0
ETC,35040,34880,34270,35180,-90,-0.26
XRP,791.9,785.3,770,793,-3.3,-0.42
BCH,366400,361300,356900,367600,-3300,-0.91
QTUM,7020,7000,6820,7060,-60,-0.85
BTG,36550,35880,35630,36550,-270,-0.75
EOS,2675,2668,2612,2687,-12,-0.45
ICX,835.2,842.4,802.7,855.8,41.6,5.19
TRX,92.84,93.71,90.25,94.62,4.61,5.17
ELF,348,345.4,340.9,354.9,0.8,0.23
OMG,4943,4846,4713,4954,-41,-0.84
KNC,4850,4401,4377,4883,-709,-13.87
GLM,444.2,442.5,441.6,447,3.4,0.77
ZIL,89.1,88.17,86.29,90,-1.06,-1.19
WAXP,280,271.8,269.6,287.5,-2.8,-1.02
POWR,549.3,538.6,536,552,-5.6,-1.03
LRC,947.7,937.1,918.6,949.7,-20.4,-2.13
STEEM,491.5,477.9,474.7,496.4,-23.4,-4.67
STRAX,1146,1142,1134,1170,-5,-0.44
ZRX,909.9,913.1,872.6,959.2,7.3,0.81
REP,15020,14900,14800,15170,-10,-0.07
XEM,114.6,114.1,111.8,115.4,-3,-2.56
SNT,69.96,69.34,68.63,69.96,0.54,0.78
ADA,1015,997.5,984.1,1019,1.8,0.18
CTXC,275.5,270.5,268.6,277.8,-5.6,-2.03
BAT,763.7,746.7,733.5,764.6,6.1,0.82
THETA,3006,2973,2891,3029,-2,-0.07
LOOM,97.84,98.24,97.66,100.3,1.94,2.01
WAVES,16180,15530,15320,16540,-310,-1.96
LINK,14380,14400,13980,14470,170,1.19
ENJ,1401,1385,1349,1407,25,1.84
VET,60.7,60.47,59.37,61.24,-0.1,-0.17
MTL,2530,2461,2436,2547,-142,-5.46
IOST,28.36,28.36,27.7,28.49,-0.04,-0.14
TMTG,3.03,3,2.95,3.05,-0.017,-0.56
QKC,22.17,21.67,21.4,22.18,-1.55,-6.68
ATOLO,37.11,37.4,36.96,38.5,-0.24,-0.64
AMO,2.447,2.35,2.346,2.475,-0.204,-7.99
BSV,94550,93300,91600,94650,-750,-0.8
ORBS,85.6,84.3,84.03,85.6,-2.7,-3.1
TFUEL,170,167.4,166.3,170.8,0.3,0.18
