date,open,high,low,close,volume,value
2022-04-04 9:00,591,611,573,609,20415137.68,11986338980
2022-04-05 9:00,608,636,580,585,15996047.37,9553767908
2022-04-06 9:00,583,585,541,542,10130790.97,5697646382
2022-04-07 9:00,542,560,538,555,3687699.396,2029159152
2022-04-08 9:00,555,570,546,547,4691908.949,2623037936
2022-04-09 9:00,546,557,543,555,1831828.916,1002937651
2022-04-10 9:00,556,563,549,551,2295589.909,1273631731
2022-04-11 9:00,553,554,507,510,4594593.769,2441090816
2022-04-12 9:00,511,533,506,525,3437198.556,1795505478
2022-04-13 9:00,526,533,514,532,3875423.558,2033087676
2022-04-14 9:00,533,535,515,516,3216509.839,1696172951
2022-04-15 9:00,516,522,508,512,3143462.526,1614345104
2022-04-16 9:00,512,517,509,511,2359979.906,1208916864
2022-04-17 9:00,511,519,508,509,3753607.282,1930221397
2022-04-18 9:00,509,516,493,512,4592194.089,2306808025
2022-04-19 9:00,513,520,508,517,2370061.701,1216666200
2022-04-20 9:00,517,530,510,519,4780480.641,2486986094
2022-04-21 9:00,519,530,509,513,4479806.702,2335303931
2022-04-22 9:00,513,518,500,506,3615716.577,1848152880
2022-04-23 9:00,506,517,503,512,2824551.064,1438037417
2022-04-24 9:00,513,514,500,500,1804307.949,916216181.8
2022-04-25 9:00,501,507,485,507,6231026.724,3087884443
2022-04-26 9:00,507,509,483,486,3270385.273,1626630493
2022-04-27 9:00,485,498,481,495,2580495.65,1263942101
2022-04-28 9:00,497,503,490,496,1963272.984,975234289.4
2022-04-29 9:00,496,500,474,476,2477692.356,1201957595
2022-04-30 9:00,477,481,457,459,2605910.844,1226635021
2022-05-01 9:00,460,462,377,404,47852371.18,19427189212
2022-05-02 9:00,404,411,345,357,62229411.64,23144943320
2022-05-03 9:00,357,389,353,375,81912517.45,30533954123
