date,open,high,low,close,volume,value
2022-04-04 9:00,115,115,107,112,78550488.4,8716817054
2022-04-05 9:00,111,113,108,109,50375228.09,5539840400
2022-04-06 9:00,109,109,94.1,94.5,97587000.41,9838228490
2022-04-07 9:00,94.6,103,93.1,101,101156902.3,10037271227
2022-04-08 9:00,101,102,96.5,98,37895985.98,3778918535
2022-04-09 9:00,98.1,100,97.6,98.9,29612112.14,2932745932
2022-04-10 9:00,98.9,99.9,97.5,97.6,22446706.73,2219086116
2022-04-11 9:00,97.6,99.5,88.1,89.6,53014007.81,4974224679
2022-04-12 9:00,89.6,100,88.8,96.1,218457641.1,20950036001
2022-04-13 9:00,96.1,101,95.3,98.6,158374140,15650320808
2022-04-14 9:00,99,99.9,95.4,97.4,51102726.88,5029027614
2022-04-15 9:00,97.4,98.1,95.5,96.9,23295088.02,2252165254
2022-04-16 9:00,97,98.4,94.7,96,13530559.39,1305848161
2022-04-17 9:00,95.9,97.7,92.4,93.7,23638982.12,2259543787
2022-04-18 9:00,93.7,95.7,88.8,94.1,34921268.89,3215878265
2022-04-19 9:00,94,95.7,93.2,95.5,18513880.53,1749277453
2022-04-20 9:00,95.4,95.6,92.7,94.9,18921349.14,1790179609
2022-04-21 9:00,94.9,99.6,94.9,95.4,113970352.8,11079247417
2022-04-22 9:00,95.4,98.4,94.5,95.7,46383103.37,4477683206
2022-04-23 9:00,95.7,99,95.1,98.4,45460578.49,4430087902
2022-04-24 9:00,98.5,98.6,93.3,94.5,29348083.25,2817395258
2022-04-25 9:00,94.6,102,90,99.2,682083723.8,66775520639
2022-04-26 9:00,99.1,109,96.6,99.7,474680959.5,48672819393
2022-04-27 9:00,99.7,107,99.6,103,199960878.7,20621250389
2022-04-28 9:00,103,105,98.3,101,84288437.61,8479556266
2022-04-29 9:00,101,101,95.3,95.6,102835726.5,9980208864
2022-04-30 9:00,95.6,96.3,86,87.4,57795153.69,5322258291
2022-05-01 9:00,87.3,88.6,79.8,85.8,65275309.66,5474096489
2022-05-02 9:00,85.9,93.2,85.1,87.6,284886464.5,25359324145
2022-05-03 9:00,87.4,88.1,84.1,84.9,56371578.05,4832286158
