"","x"
"BTC","list(opening_price = ""50200000"", closing_price = ""50573000"", min_price = ""49920000"", max_price = ""51200000"", units_traded = ""1738.64451268"", acc_trade_value = ""88258973170.6152"", prev_closing_price = ""50185000"", units_traded_24H = ""4019.03748393"", acc_trade_value_24H = ""202794452284.0571"", fluctate_24H = ""535000"", fluctate_rate_24H = ""1.07"")"
"ETH","list(opening_price = ""3678000"", closing_price = ""3733000"", min_price = ""3659000"", max_price = ""3779000"", units_traded = ""11592.56450299"", acc_trade_value = ""43337046962.9788"", prev_closing_price = ""3683000"", units_traded_24H = ""25797.75367137"", acc_trade_value_24H = ""95817698314.5992"", fluctate_24H = ""55000"", fluctate_rate_24H = ""1.5"")"
"LTC","list(opening_price = ""129400"", closing_price = ""130900"", min_price = ""128600"", max_price = ""132900"", units_traded = ""7659.50586891"", acc_trade_value = ""1003667768.7283"", prev_closing_price = ""129800"", units_traded_24H = ""12080.69385005"", acc_trade_value_24H = ""1574466112.7671"", fluctate_24H = ""3300"", fluctate_rate_24H = ""2.59"")"
"ETC","list(opening_price = ""39430"", closing_price = ""39830"", min_price = ""39250"", max_price = ""40180"", units_traded = ""621501.66889684"", acc_trade_value = ""24731472823.0509"", prev_closing_price = ""39480"", units_traded_24H = ""1533496.22647549"", acc_trade_value_24H = ""60909659797.5427"", fluctate_24H = ""90"", fluctate_rate_24H = ""0.23"")"
"XRP","list(opening_price = ""818.4"", closing_price = ""819.2"", min_price = ""811.1"", max_price = ""825"", units_traded = ""37362278.49297727"", acc_trade_value = ""30654834691.2321"", prev_closing_price = ""818.4"", units_traded_24H = ""104298474.26027453"", acc_trade_value_24H = ""85864571664.7513"", fluctate_24H = ""-9.3"", fluctate_rate_24H = ""-1.12"")"
"BCH","list(opening_price = ""392800"", closing_price = ""389000"", min_price = ""387400"", max_price = ""397600"", units_traded = ""1822.28935248"", acc_trade_value = ""716706850.7073"", prev_closing_price = ""392300"", units_traded_24H = ""4931.39206884"", acc_trade_value_24H = ""1926384393.5258"", fluctate_24H = ""-2600"", fluctate_rate_24H = ""-0.66"")"
"QTUM","list(opening_price = ""7710"", closing_price = ""7815"", min_price = ""7670"", max_price = ""7845"", units_traded = ""84237.51051559"", acc_trade_value = ""650446017.2714"", prev_closing_price = ""7720"", units_traded_24H = ""190163.83615461"", acc_trade_value_24H = ""1478176719.6531"", fluctate_24H = ""55"", fluctate_rate_24H = ""0.71"")"
"BTG","list(opening_price = ""39840"", closing_price = ""39900"", min_price = ""39380"", max_price = ""40200"", units_traded = ""2429.2201099"", acc_trade_value = ""96707256.458"", prev_closing_price = ""39550"", units_traded_24H = ""7664.93604237"", acc_trade_value_24H = ""305657971.3509"", fluctate_24H = ""-440"", fluctate_rate_24H = ""-1.09"")"
"EOS","list(opening_price = ""2944"", closing_price = ""2986"", min_price = ""2910"", max_price = ""3014"", units_traded = ""513099.70722067"", acc_trade_value = ""1515182064.9498"", prev_closing_price = ""2947"", units_traded_24H = ""1842430.7874505"", acc_trade_value_24H = ""5380551492.9285"", fluctate_24H = ""102"", fluctate_rate_24H = ""3.54"")"
"ICX","list(opening_price = ""918.8"", closing_price = ""920.7"", min_price = ""910.9"", max_price = ""935.5"", units_traded = ""185663.07658057"", acc_trade_value = ""170810128.0572"", prev_closing_price = ""920"", units_traded_24H = ""510439.47038901"", acc_trade_value_24H = ""472803899.624"", fluctate_24H = ""-2.8"", fluctate_rate_24H = ""-0.30"")"
"TRX","list(opening_price = ""80.43"", closing_price = ""81.46"", min_price = ""80.13"", max_price = ""81.61"", units_traded = ""26898117.76948647"", acc_trade_value = ""2176857349.2281"", prev_closing_price = ""80.42"", units_traded_24H = ""100237854.86544083"", acc_trade_value_24H = ""8102778557.1772"", fluctate_24H = ""1.08"", fluctate_rate_24H = ""1.34"")"
"ELF","list(opening_price = ""396.1"", closing_price = ""399.9"", min_price = ""393.8"", max_price = ""404.8"", units_traded = ""284362.86189249"", acc_trade_value = ""113852684.6848"", prev_closing_price = ""393.6"", units_traded_24H = ""1237022.20381675"", acc_trade_value_24H = ""499301672.7307"", fluctate_24H = ""-4.4"", fluctate_rate_24H = ""-1.09"")"
"OMG","list(opening_price = ""5325"", closing_price = ""5285"", min_price = ""5270"", max_price = ""5540"", units_traded = ""21772.22474901"", acc_trade_value = ""118232753.0424"", prev_closing_price = ""5335"", units_traded_24H = ""44700.50454525"", acc_trade_value_24H = ""241726497.3739"", fluctate_24H = ""-40"", fluctate_rate_24H = ""-0.75"")"
"KNC","list(opening_price = ""6960"", closing_price = ""7185"", min_price = ""6900"", max_price = ""7275"", units_traded = ""348447.35399546"", acc_trade_value = ""2475791208.2221"", prev_closing_price = ""6955"", units_traded_24H = ""1028834.67545764"", acc_trade_value_24H = ""7193302559.9437"", fluctate_24H = ""150"", fluctate_rate_24H = ""2.13"")"
"GLM","list(opening_price = ""500.1"", closing_price = ""501.1"", min_price = ""497"", max_price = ""512.9"", units_traded = ""297557.79194916"", acc_trade_value = ""148953140.1038"", prev_closing_price = ""497.7"", units_traded_24H = ""490382.76505378"", acc_trade_value_24H = ""246352659.9849"", fluctate_24H = ""-5.5"", fluctate_rate_24H = ""-1.09"")"
"ZIL","list(opening_price = ""115.4"", closing_price = ""115.7"", min_price = ""114.3"", max_price = ""118.2"", units_traded = ""9820031.70190709"", acc_trade_value = ""1139067418.1185"", prev_closing_price = ""115.4"", units_traded_24H = ""25985801.49820956"", acc_trade_value_24H = ""3068223700.773"", fluctate_24H = ""-4.9"", fluctate_rate_24H = ""-4.06"")"
"WAXP","list(opening_price = ""317.4"", closing_price = ""317.6"", min_price = ""313.7"", max_price = ""325"", units_traded = ""630518.29979659"", acc_trade_value = ""201339607.6739"", prev_closing_price = ""316.4"", units_traded_24H = ""1225345.17604732"", acc_trade_value_24H = ""391021367.0119"", fluctate_24H = ""-0.9"", fluctate_rate_24H = ""-0.28"")"
"POWR","list(opening_price = ""604.8"", closing_price = ""608.7"", min_price = ""599.7"", max_price = ""610"", units_traded = ""400355.68563144"", acc_trade_value = ""242657431.3145"", prev_closing_price = ""601.7"", units_traded_24H = ""1243169.70598323"", acc_trade_value_24H = ""751850411.9281"", fluctate_24H = ""-2.9"", fluctate_rate_24H = ""-0.47"")"
"LRC","list(opening_price = ""1077"", closing_price = ""1063"", min_price = ""1061"", max_price = ""1090"", units_traded = ""97151.35615913"", acc_trade_value = ""104409855.2363"", prev_closing_price = ""1070"", units_traded_24H = ""247824.00549308"", acc_trade_value_24H = ""267410921.5319"", fluctate_24H = ""-28"", fluctate_rate_24H = ""-2.57"")"
"STEEM","list(opening_price = ""634.2"", closing_price = ""595.6"", min_price = ""582.5"", max_price = ""646.6"", units_traded = ""3772803.20894882"", acc_trade_value = ""2318998272.0607"", prev_closing_price = ""634.2"", units_traded_24H = ""15656556.3257194"", acc_trade_value_24H = ""10244166876.6671"", fluctate_24H = ""-123.6"", fluctate_rate_24H = ""-17.19"")"
"STRAX","list(opening_price = ""1273"", closing_price = ""1273"", min_price = ""1268"", max_price = ""1291"", units_traded = ""67085.57869401"", acc_trade_value = ""85776195.0212"", prev_closing_price = ""1272"", units_traded_24H = ""130076.56857957"", acc_trade_value_24H = ""166758827.4352"", fluctate_24H = ""-25"", fluctate_rate_24H = ""-1.93"")"
"ZRX","list(opening_price = ""1082"", closing_price = ""1033"", min_price = ""1021"", max_price = ""1107"", units_traded = ""641991.91769293"", acc_trade_value = ""673966982.6646"", prev_closing_price = ""1083"", units_traded_24H = ""2380532.42315215"", acc_trade_value_24H = ""2657072760.3721"", fluctate_24H = ""-83"", fluctate_rate_24H = ""-7.44"")"
"REP","list(opening_price = ""16860"", closing_price = ""17450"", min_price = ""16860"", max_price = ""17880"", units_traded = ""11840.21063017"", acc_trade_value = ""205136804.0209"", prev_closing_price = ""16900"", units_traded_24H = ""20249.97099576"", acc_trade_value_24H = ""346692942.7349"", fluctate_24H = ""680"", fluctate_rate_24H = ""4.05"")"
"XEM","list(opening_price = ""117.9"", closing_price = ""119.5"", min_price = ""116.7"", max_price = ""120.8"", units_traded = ""1912827.88619918"", acc_trade_value = ""228729466.0868"", prev_closing_price = ""117"", units_traded_24H = ""4052038.84962649"", acc_trade_value_24H = ""480060830.1988"", fluctate_24H = ""2.6"", fluctate_rate_24H = ""2.22"")"
"SNT","list(opening_price = ""75.78"", closing_price = ""76.2"", min_price = ""75.1"", max_price = ""76.68"", units_traded = ""660694.65972253"", acc_trade_value = ""50139239.8094"", prev_closing_price = ""75.05"", units_traded_24H = ""1918036.75152358"", acc_trade_value_24H = ""145610655.6257"", fluctate_24H = ""-0.29"", fluctate_rate_24H = ""-0.38"")"
"ADA","list(opening_price = ""1070"", closing_price = ""1072"", min_price = ""1058"", max_price = ""1085"", units_traded = ""883114.80821928"", acc_trade_value = ""949317789.6556"", prev_closing_price = ""1068"", units_traded_24H = ""2498009.68553009"", acc_trade_value_24H = ""2677031016.3305"", fluctate_24H = ""4"", fluctate_rate_24H = ""0.37"")"
"CTXC","list(opening_price = ""301.5"", closing_price = ""304"", min_price = ""300.4"", max_price = ""314.2"", units_traded = ""617211.63767897"", acc_trade_value = ""189071507.4048"", prev_closing_price = ""302.2"", units_traded_24H = ""1527961.63667897"", acc_trade_value_24H = ""464277696.4778"", fluctate_24H = ""-0.1"", fluctate_rate_24H = ""-0.03"")"
"BAT","list(opening_price = ""841.6"", closing_price = ""839.3"", min_price = ""833.9"", max_price = ""852.6"", units_traded = ""211554.21846888"", acc_trade_value = ""178545017.1101"", prev_closing_price = ""841.9"", units_traded_24H = ""649211.82951335"", acc_trade_value_24H = ""548921524.7236"", fluctate_24H = ""-9.5"", fluctate_rate_24H = ""-1.12"")"
"WTC","list(opening_price = ""532.5"", closing_price = ""505.1"", min_price = ""490"", max_price = ""535.8"", units_traded = ""534971.27234514"", acc_trade_value = ""273704582.3084"", prev_closing_price = ""536"", units_traded_24H = ""1338174.03546069"", acc_trade_value_24H = ""697438311.1662"", fluctate_24H = ""-15.5"", fluctate_rate_24H = ""-2.98"")"
"THETA","list(opening_price = ""3521"", closing_price = ""3522"", min_price = ""3456"", max_price = ""3581"", units_traded = ""68011.50954422"", acc_trade_value = ""239366669.9245"", prev_closing_price = ""3510"", units_traded_24H = ""198764.13098306"", acc_trade_value_24H = ""703994488.4469"", fluctate_24H = ""-36"", fluctate_rate_24H = ""-1.01"")"
"LOOM","list(opening_price = ""103.7"", closing_price = ""102.6"", min_price = ""102.3"", max_price = ""105.1"", units_traded = ""451482.81690924"", acc_trade_value = ""46741615.8928"", prev_closing_price = ""103.4"", units_traded_24H = ""1312932.44850499"", acc_trade_value_24H = ""135828506.5288"", fluctate_24H = ""-1.1"", fluctate_rate_24H = ""-1.06"")"
"WAVES","list(opening_price = ""20000"", closing_price = ""19590"", min_price = ""19400"", max_price = ""20300"", units_traded = ""59673.33208571"", acc_trade_value = ""1182160020.881"", prev_closing_price = ""20070"", units_traded_24H = ""222590.1234959"", acc_trade_value_24H = ""4574373589.7871"", fluctate_24H = ""-1140"", fluctate_rate_24H = ""-5.5"")"
"LINK","list(opening_price = ""16040"", closing_price = ""16120"", min_price = ""15880"", max_price = ""16340"", units_traded = ""35209.65864939"", acc_trade_value = ""568493366.6059"", prev_closing_price = ""16040"", units_traded_24H = ""87599.81567318"", acc_trade_value_24H = ""1415626252.0509"", fluctate_24H = ""-100"", fluctate_rate_24H = ""-0.62"")"
"ENJ","list(opening_price = ""1640"", closing_price = ""1649"", min_price = ""1625"", max_price = ""1665"", units_traded = ""152447.2044657"", acc_trade_value = ""251352785.0853"", prev_closing_price = ""1641"", units_traded_24H = ""508453.75375237"", acc_trade_value_24H = ""839490237.8429"", fluctate_24H = ""-11"", fluctate_rate_24H = ""-0.66"")"
"VET","list(opening_price = ""65.53"", closing_price = ""65.7"", min_price = ""64.22"", max_price = ""66.71"", units_traded = ""32701420.43435721"", acc_trade_value = ""2129450405.462"", prev_closing_price = ""65.7"", units_traded_24H = ""52134934.95621496"", acc_trade_value_24H = ""3410492260.921"", fluctate_24H = ""-0.3"", fluctate_rate_24H = ""-0.45"")"
"MTL","list(opening_price = ""3263"", closing_price = ""3398"", min_price = ""3233"", max_price = ""3540"", units_traded = ""681518.60489083"", acc_trade_value = ""2309103353.2714"", prev_closing_price = ""3264"", units_traded_24H = ""1198354.84107266"", acc_trade_value_24H = ""4041823228.2361"", fluctate_24H = ""36"", fluctate_rate_24H = ""1.07"")"
"IOST","list(opening_price = ""34.2"", closing_price = ""34.31"", min_price = ""33.77"", max_price = ""35.04"", units_traded = ""4479427.25061726"", acc_trade_value = ""155123264.6114"", prev_closing_price = ""34.12"", units_traded_24H = ""13393883.76055079"", acc_trade_value_24H = ""464176531.0311"", fluctate_24H = ""-0.72"", fluctate_rate_24H = ""-2.06"")"
"TMTG","list(opening_price = ""3.286"", closing_price = ""3.33"", min_price = ""3.264"", max_price = ""3.407"", units_traded = ""18782333.61513902"", acc_trade_value = ""62929027.2749"", prev_closing_price = ""3.286"", units_traded_24H = ""31539084.3755136"", acc_trade_value_24H = ""104657952.0966"", fluctate_24H = ""0.002"", fluctate_rate_24H = ""0.06"")"
"QKC","list(opening_price = ""24.88"", closing_price = ""25.21"", min_price = ""24.84"", max_price = ""25.68"", units_traded = ""2058785.36147855"", acc_trade_value = ""51978803.1765"", prev_closing_price = ""24.91"", units_traded_24H = ""6331199.09961655"", acc_trade_value_24H = ""158671343.1159"", fluctate_24H = ""0.16"", fluctate_rate_24H = ""0.64"")"
"ATOLO","list(opening_price = ""39.98"", closing_price = ""39"", min_price = ""39"", max_price = ""40.43"", units_traded = ""1018095.27972525"", acc_trade_value = ""40395613.1539"", prev_closing_price = ""39.98"", units_traded_24H = ""4892182.37219558"", acc_trade_value_24H = ""195857864.0419"", fluctate_24H = ""-1"", fluctate_rate_24H = ""-2.50"")"
"AMO","list(opening_price = ""2.82"", closing_price = ""2.81"", min_price = ""2.762"", max_price = ""2.841"", units_traded = ""123488470.03106019"", acc_trade_value = ""345398193.9713"", prev_closing_price = ""2.839"", units_traded_24H = ""234016354.78997157"", acc_trade_value_24H = ""659070176.6999"", fluctate_24H = ""-0.028"", fluctate_rate_24H = ""-0.99"")"
"BSV","list(opening_price = ""99550"", closing_price = ""99650"", min_price = ""98850"", max_price = ""100700"", units_traded = ""629.9907952"", acc_trade_value = ""62971718.789"", prev_closing_price = ""99400"", units_traded_24H = ""1814.5754952"", acc_trade_value_24H = ""180907979.939"", fluctate_24H = ""800"", fluctate_rate_24H = ""0.81"")"
"ORBS","list(opening_price = ""99.9"", closing_price = ""99.25"", min_price = ""98.7"", max_price = ""101"", units_traded = ""639160.29737604"", acc_trade_value = ""63775840.925"", prev_closing_price = ""99.75"", units_traded_24H = ""3651290.8288305"", acc_trade_value_24H = ""365529837.5646"", fluctate_24H = ""-2.65"", fluctate_rate_24H = ""-2.60"")"
"TFUEL","list(opening_price = ""193.1"", closing_price = ""195.1"", min_price = ""191.5"", max_price = ""196.5"", units_traded = ""517482.0602"", acc_trade_value = ""100656715.59"", prev_closing_price = ""193"", units_traded_24H = ""1742547.44962319"", acc_trade_value_24H = ""336861115.8812"", fluctate_24H = ""1.8"", fluctate_rate_24H = ""0.93"")"
"VALOR","list(opening_price = ""582.3"", closing_price = ""581.3"", min_price = ""574"", max_price = ""585.9"", units_traded = ""55668.49545227"", acc_trade_value = ""32281458.2209"", prev_closing_price = ""582.8"", units_traded_24H = ""279068.10382729"", acc_trade_value_24H = ""161027936.7062"", fluctate_24H = ""-15.6"", fluctate_rate_24H = ""-2.61"")"
"CON","list(opening_price = ""25.73"", closing_price = ""26.87"", min_price = ""25.57"", max_price = ""27.7"", units_traded = ""54812293.62970375"", acc_trade_value = ""1471287139.6308"", prev_closing_price = ""25.78"", units_traded_24H = ""107057909.58953676"", acc_trade_value_24H = ""2854022500.6873"", fluctate_24H = ""0.45"", fluctate_rate_24H = ""1.70"")"
