Symbol,opening_price,closing_price,min_price,max_price,fluctate_24H,fluctate_rate_24H
BTC,50200000,50255000,49920000,51200000,36000,0.07
ETH,3678000,3722000,3659000,3779000,44000,1.2
LTC,129400,130500,128600,132900,2900,2.27
ETC,39430,39160,39070,40180,-430,-1.09
XRP,818.4,810,810,825,-16.7,-2.02
BCH,392800,384800,384800,397600,-2700,-0.7
QTUM,7710,7680,7655,7845,-55,-0.71
BTG,39840,39180,39160,40200,-710,-1.78
EOS,2944,2959,2910,3028,81,2.81
ICX,918.8,907,905.2,935.5,-18.6,-2.01
TRX,80.43,80.76,80.13,81.61,-0.34,-0.42
ELF,396.1,395.2,393.1,404.8,-4.9,-1.22
OMG,5325,5200,5190,5540,-140,-2.62
KNC,6960,7160,6900,7295,-35,-0.49
GLM,500.1,497.4,495.9,512.9,-3.2,-0.64
ZIL,115.4,111.8,110.9,118.2,-8.1,-6.76
WAXP,317.4,315.8,313.7,325,-2.4,-0.75
POWR,604.8,601.5,598.9,610,-1.8,-0.3
LRC,1077,1047,1047,1090,-36,-3.32
STEEM,634.2,604.6,582.5,646.6,-91.2,-13.11
STRAX,1273,1266,1257,1291,-28,-2.16
ZRX,1082,1010,1002,1107,-128,-11.25
REP,16860,16880,16860,17880,120,0.72
XEM,117.9,117.4,116.7,120.8,0.3,0.26
SNT,75.78,74.84,74.15,76.68,-1.26,-1.66
ADA,1070,1064,1058,1085,-8,-0.75
CTXC,301.5,300.2,298.9,314.2,-4.4,-1.44
BAT,841.6,828,824.1,852.6,-18.1,-2.14
WTC,532.5,494,481.1,535.8,-29.6,-5.65
THETA,3521,3445,3440,3581,-113,-3.18
LOOM,103.7,102.1,102,105.1,-1.1,-1.07
WAVES,20000,19180,19070,20300,-1920,-9.1
LINK,16040,15930,15860,16340,-210,-1.30
ENJ,1640,1617,1610,1665,-39,-2.36
VET,65.53,65.1,64.22,66.71,-0.96,-1.45
MTL,3263,3459,3233,3540,78,2.31
IOST,34.2,33.92,33.67,35.04,-0.91,-2.61
TMTG,3.286,3.271,3.264,3.407,0.024,0.74
QKC,24.88,25.21,24.66,25.68,0.21,0.84
ATOLO,39.98,39.8,39,40.43,-0.16,-0.40
AMO,2.82,2.775,2.755,2.846,-0.058,-2.05
BSV,99550,99600,98800,100700,750,0.76
ORBS,99.9,96.8,95.47,101,-5.2,-5.1
TFUEL,193.1,190.9,190.7,196.5,-2,-1.04
VALOR,582.3,576.4,574,592.1,-22.9,-3.82
CON,25.73,26.01,25.57,27.7,-0.84,-3.13
ANKR,88.75,87.95,87.49,91.97,-1.39,-1.56
MIX,10.82,10.82,10.6,11.05,-0.11,-1.01
CRO,497.7,491.1,489.2,498.8,-7.7,-1.54
FX,591.6,594.3,590.1,598.6,-1.9,-0.32
CHR,542.3,522.9,516.2,556.8,32.4,6.61
MBL,12.2,12.47,11.96,13.75,0.59,4.97
MXC,133.4,136.4,133.1,139.5,3.3,2.48
FCT2,157.7,158.5,153.4,160,0.4,0.25
TRV,23.4,22.51,22.1,25.99,-0.9,-3.84
DAD,158.7,158.9,157.4,159.4,1.9,1.21
WOM,120.3,116.9,111.8,122.5,-3.4,-2.83
SOC,11.89,11.64,11.54,11.95,-0.29,-2.43
BOA,114.8,117.3,114,124.1,-0.2,-0.17
MEV,27.97,27.66,27.44,28,-0.18,-0.65
SXP,1422,1413,1405,1445,4,0.28
COS,18.25,18.37,18.14,18.82,0.22,1.21
APIX,58.42,58.18,57.5,60,0.08,0.14
EL,7.58,7.413,7.41,7.633,-0.077,-1.03
BASIC,5.008,4.993,4.955,5.128,-0.107,-2.1
HIVE,1128,1124,1116,1167,-11,-0.97
XPR,10.64,10.41,10.4,10.77,-0.79,-7.05
VRA,21.86,19.35,17.69,24,-2.65,-12.05
FIT,2.294,2.25,2.25,2.299,-0.037,-1.62
EGG,39.3,40.19,38.8,41,0.01,0.02
BORA,904,892.1,890.2,911.6,-22.6,-2.47
ARPA,79.03,77.59,77.45,79.9,-2.4,-3.00
CTC,1166,1159,1150,1250,-30,-2.52
APM,40.6,41.2,40.05,43.98,-0.42,-1.01
CKB,12.72,12.66,12.62,13.28,-0.01,-0.08
AERGO,302.7,303.9,300.3,314,2.9,0.96
ANW,32.23,32.11,31.7,32.52,0.16,0.50
CENNZ,119.3,121.8,118.8,123.3,3.5,2.96
EVZ,64.96,65.9,63.6,69.83,1.8,2.81
CYCLUB,15.24,14.74,14.6,15.28,0.05,0.34
SRM,2760,2679,2669,2801,-53,-1.94
QTCON,6.928,6.763,6.71,7.133,-0.051,-0.75
UNI,10350,10270,10260,10540,-250,-2.38
YFI,22829000,22781000,22500000,23153000,47000,0.21
UMA,7150,7010,6990,7250,-140,-1.96
AAVE,213400,208700,206400,217100,-10900,-4.96
COMP,157200,155400,154100,158700,-3100,-1.96
REN,431.8,424.1,423.9,437.8,-9.2,-2.12
BAL,17900,17610,17610,18260,-860,-4.66
RSR,14.36,14.34,14.23,14.8,-0.05,-0.35
NMR,31990,31610,31590,32880,-430,-1.34
RLC,2279,2265,2231,2301,-8,-0.35
UOS,1086,1085,1065,1127,-21,-1.9
SAND,3180,3153,3131,3257,-54,-1.68
GOM2,48.1,47.17,47,48.38,-0.32,-0.67
RINGX,33.89,33.81,33.37,34.51,-0.35,-1.02
BEL,1000,989.5,985.3,1023,-3.4,-0.34
OBSR,4.064,4.18,4.064,4.287,0.122,3.01
ORC,331.5,330.4,328,336.6,-0.5,-0.15
POLA,97.39,97.17,95.11,97.4,-0.59,-0.60
AWO,95.7,81.21,80.03,99.85,-10.46,-11.41
ADP,38.07,37.51,36.98,38.87,0.85,2.32
DVI,424.3,425.1,419.3,439.9,-2.9,-0.68
GHX,63,61.99,60.47,63.3,0.15,0.24
MIR,1504,1476,1476,1517,-51,-3.34
MVC,16.67,16.57,16.5,16.93,0.08,0.49
BLY,24.07,24.12,23.57,24.54,0.55,2.33
WOZX,147.3,147.4,146.2,154,1.9,1.31
ANV,584.7,591.9,573,630,-1.3,-0.22
GRT,499.9,447.6,446,524.9,-32,-6.67
MM,440.5,450.6,426,463.7,21.5,5.01
BIOT,40.08,39.66,39.63,40.4,-0.81,-2.00
XNO,67.88,68.22,67.46,68.34,1.02,1.52
SNX,7085,7030,6985,7230,-280,-3.83
SOFI,228.1,218.2,212.9,243.8,-1.6,-0.73
COLA,173,172.5,170.7,173.9,1,0.58
OXT,279.9,277.6,276.4,296,-0.6,-0.22
LINA,29.56,29.55,28.58,30.54,0.85,2.96
MAP,27.31,27.72,27.04,29.56,0.25,0.91
AQT,3355,3251,3230,3387,-21,-0.64
PLA,1062,1050,1050,1076,-22,-2.05
WIKEN,23.36,23.21,22.84,23.75,0.59,2.61
CTSI,391.5,389.1,385.8,396.9,-2.2,-0.56
MANA,2314,2278,2261,2349,-57,-2.44
LPT,31500,31000,30950,31860,-760,-2.39
MKR,2105000,2018000,2018000,2129000,-120000,-5.61
SUSHI,3824,3767,3728,3994,-26,-0.69
ASM,54.02,54.56,54.02,56.11,-0.96,-1.73
PUNDIX,1082,1081,1074,1105,-17,-1.55
CELR,54.7,52.07,51.5,55,-3.33,-6.01
CWD,96.01,92.89,92.7,96.07,-2.45,-2.57
ARW,1182,1181,1173,1192,3,0.25
FRONT,595,617.5,587.5,634.2,30.7,5.23
RLY,183.8,204.8,181.6,219.8,18.8,10.11
OCEAN,606.6,601.6,601.4,621.3,-13.3,-2.16
BFC,166.1,184.1,166,201.9,14.2,8.36
ALICE,7835,7885,7755,8110,260,3.41
OGN,672.4,636.5,582.6,680.9,-45.9,-6.73
COTI,275.7,275.6,272.9,282,-4.4,-1.57
CAKE,10250,10210,10150,10680,605,6.3
BNT,2737,2736,2717,2888,28,1.03
XVS,12250,12180,12130,12520,-130,-1.06
SWAP,903.9,875.9,875.3,915,-24.3,-2.7
CHZ,258.7,255.5,254.3,262.4,-6,-2.29
AXS,48610,47460,47130,49250,-1320,-2.71
DAO,3749,3765,3730,3995,112,3.07
SIX,222.7,207.4,204,225.7,-26.9,-11.48
DAI,1275,1271,1267,1279,0,0.00
MATIC,1588,1558,1544,1603,-47,-2.93
WOO,527.8,519.1,519.1,539.1,-15.6,-2.92
ACH,37.03,35.06,35,37.99,-1.64,-4.47
VELO,61.2,62.05,59.12,64.79,3.28,5.58
BCD,388,371.5,363.2,388,0.4,0.11
XLM,235.8,234.1,233.4,238.4,-4.6,-1.93
VSYS,14.19,14.19,13.95,14.57,0.01,0.07
IPX,54.68,54.34,53.52,54.68,-0.15,-0.28
WICC,156.4,155.4,153.6,156.4,2.4,1.57
ONT,645.9,654,640,684.5,5.3,0.82
LUNA,113400,110200,109600,115500,-4800,-4.17
AION,155.9,162.9,152.7,169.4,4,2.52
META,92.85,93.12,92.23,96.4,-2.64,-2.76
KLAY,1067,1064,1055,1079,0,0.00
ONG,871.5,867.2,864,902.6,-30.2,-3.37
ALGO,861.3,874.5,853.5,910,25.5,3.00
JST,80.44,83.32,79.62,85.37,1.88,2.31
XTZ,3558,3527,3513,3602,-57,-1.59
MLK,1002,1003,1002,1017,-19,-1.86
WEMIX,3958,3901,3895,4065,-104,-2.6
DOT,21710,21450,21350,22000,-160,-0.74
ATOM,26340,26070,25900,26770,-970,-3.59
SSX,57.1,56.38,56.19,58.32,-0.8,-1.4
TEMCO,6.068,6.099,6.001,6.109,-0.01,-0.16
HIBS,2.61,2.62,2.59,2.661,0.01,0.38
BURGER,1613,1629,1590,1690,16,0.99
DOGE,175.4,175.5,173,177.9,-3,-1.68
KSM,202700,196400,196000,203500,-3600,-1.80
CTK,1424,1433,1417,1450,-10,-0.69
XYM,127,126.2,125.3,129.7,-4,-3.07
