created,tweet_text
Tue Apr 05 06:25:51 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:25:48 +0000 2022,"데놋 리플렛 도대체 어디서 구함 ㅠㅠ 
학교 온김에 예당 들렀는데 코빼기도 안보여..
제 발 . 내가 옹왕오씨 프린트된 종 이 한 장 갖고싶다는데 . . ."
Tue Apr 05 06:25:07 +0000 2022,이거 아무리 리플 돌려봐도 스킨플 당한거 같은데 이거 맞나 ㅋㅅㅋㅅㅋㅅㅋㅅㅋㅅㅋㅅㅋㅅㅋㅋ 스킨플 아니고서야 어떻게 시작한지 15초만에 오더를 내림 ? https://t.co/DGYv86O90i
Tue Apr 05 06:23:09 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:22:30 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:22:12 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:21:56 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:21:44 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:21:27 +0000 2022,"혹시 트친분들 중 민우혁 배우님 지킬앤하이드(18-19) 리플렛..? 갖고 싶으신 분 있을까요? 관극 겹치는 날 드릴게요! 

⭐️제 관극일은) 4/8 밤공, 4/23 낮공, 4/30 밤공, 동막, 카막 입… https://t.co/eL0p3A35nV"
Tue Apr 05 06:20:49 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:20:11 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:19:16 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:18:59 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:18:48 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:18:01 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:15:50 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:15:38 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 06:15:32 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
